"Numéro CAS";"Nom SA";"Valeur PNEC";"Unité";"Etude(s)";"Donnée de toxicité";"Valeur donnée de toxicité";"Unité donnée de toxicité";"Facteur de sécurité"
"71751-41-2";"abamectine";"0,0163";"ug/L";"mésocosme";"NOAEC";"0,0489";"mg/L";3
"57960-19-7";"acequinocyl";"1,5";"ug/L";"mésocosme";"NOEC";"0,003";"mg/L";2
"135410-20-7";"acetamiprid";"0,2";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,002";"mg/L";10
"135158-54-2";"Acibenzolar-S-methyl";"2,6";"ug/L";"toxicité chronique chez le poisson";"NOEC";"26";"ug/L";10
"64-19-7";"acide acetique";"0,189";"mg/L";"toxicité aigüe chez l'invertébré aquatique";"CE50";"18,9";"mg/L";10
"65-85-0";"acide benzoique";"1200";"ug/L";"toxicité chez différents groupes d'organismes aquatiques";"CE50";">120";"mg/L";100
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"50";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,5";"mg/L";10
"133-32-4";"acide indolyl butyrique";"1,12";"mg/L";"toxicité aigüe chez l'invertébré aquatique";"CL50";"112";"mg/L";100
"112-05-0";"acide pelargonique";"41";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,41";"mg/L";10
"86-87-3";"acide 1-naphthylacetique";"560";"ug/L";"toxicité aigüe chez le poisson";"CE50";"56";"mg/L";100
"74070-46-5";"aclonifen";"0,5";"ug/L";"toxicité chronique chez le poisson";"NOEC";"0,005";"mg/L";10
"101007-06-1";"acrinathrine";"0,0087";"ug/L";"mésocosme";"NOAEC";"0,026";"ug/L";3
"101007-06-1";"acrinathrine";"0,00022";"ug/L";"toxicité aigüe chez l'invertébré aquatique";"CE50";"0,022";"ug/L";100
"865318-97-4";"amétoctradine";"4,4";"ug/L";"toxicité aigüe chez l'invertébré aquatique";"NOEC";"0,044";"mg/L";10
"120923-37-7";"amidosulfuron";"0,92";"ug/L";"toxicité chez la plante aquatique";"CE50";"0,0092";"mg/L";10
"150114-71-9";"aminopyralide";"10";"ug/L";"toxicité chronique chez le poisson";"NOEC";"0,1";"mg/L";10
"348635-87-0";"amisulbrom";"1,68";"ug/L";"toxicité aigüe chez le poisson";"HC5";"15,1";"ug/L";9
"11141-17-6";"azadirachtin";"0,37";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,0037";"mg/L";10
"131860-33-8";"azoxystrobine";"3,3";"ug/L";"mésocosme";"NOAEC";"10";"ug/L";3
"113614-08-7";"beflubutamid";"0,455";"ug/L";"toxicité chez l'algue";"CE50";"0,00455";"mg/L";10
"71626-11-4";"benalaxyl";"3";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,03";"mg/L";10
"98243-83-5";"benalaxyl-M";"20";"ug/L";"toxicité chronique chez l'invertébré aquatique";"NOEC";"0,2";"mg/L";10
"1861-40-1";"benfluraline";"0,43";"ug/L";"toxicité aigüe chez l'invertébré aquatique";"CE50";"0,043";"mg/L";100
"83055-99-6";"bensulfuron-methyle";"0,1275";"ug/L";"toxicité chez la plante aquatique";"CE50";"1,275";"ug/L";10
"83055-99-6";"bensulfuron-methyle";"0,38";"ug/L";"toxicité chez la plante aquatique";"HC5";"1,15";"ug/L";3
"25057-89-0";"bentazone";"1200";"ug/L";"toxicité chez la plante aquatique";"CE50";"12";"mg/L";10
"177406-68-7";"benthiavalicarb-isopropyl";"100";"ug/L";"toxicité chronique chez le poisson";"NOEC";"1";"mg/L";10
"1072957-71-1";"benzovindiflupyr";"0,095";"ug/L";"toxicité chronique chez le poisson";"NOEC";"0,00095";"mg/L";10
"68359-37-5";"betacyflutrine";"0,01";"ug/L";"mésocosme";"NOEC";"0,00001";"mg/L";1
"68359-37-5";"betacyflutrine";"0,125";"ug/L";"microcosme";"NOEC";"1,25";"mg/L";10
"149877-41-8";"bifenazate";"4,2";"ug/L";"toxicité aigüe chez le poisson";"CL50";"0,42";"mg/L";100
"42576-02-3";"bifenox";"0,91";"ug/L";"toxicité chronique chez le poisson";"NOEC";"9,1";"ug/L";10
